Type;Shop;On_Sale;For;Known_Brand;Leather;Color;Prijs
heals;online;no;female;yes;yes;blue;311,85
sandals;online;yes;male;yes;yes;black;32,0625
sandals;online;yes;female;yes;yes;black;56,2275
sandals;online;no;male;yes;yes;black;89,775
sandals;online;no;female;yes;yes;black;89,775
sandals;online;yes;male;yes;yes;brown;24,975
sandals;online;yes;female;yes;yes;brown;34,425
sandals;online;no;male;yes;yes;brown;43,2
sandals;online;no;female;yes;yes;brown;45,225
sandals;online;yes;male;yes;yes;gray;33,75
sandals;online;yes;female;yes;yes;gray;49,275
sandals;online;no;male;yes;yes;gray;51,975
sandals;online;no;female;yes;yes;gray;74,925
sandals;online;yes;male;yes;yes;white;43,9425
sandals;online;yes;female;yes;yes;white;63,315
sandals;online;no;male;yes;yes;white;45,225
sandals;online;no;female;yes;yes;white;68,175
sandals;online;yes;male;yes;yes;red;39,4875
sandals;online;yes;female;yes;yes;red;44,8875
sandals;online;no;male;yes;yes;red;98,55
sandals;online;no;female;yes;yes;red;69,525
sandals;online;yes;male;yes;yes;blue;25,9875
sandals;online;yes;female;yes;yes;blue;26,325
sandals;online;no;male;yes;yes;blue;45,9
sandals;online;no;female;yes;yes;blue;115,425
boots;online;yes;male;yes;yes;black;258,3
boots;online;yes;female;yes;yes;black;274,5
boots;online;no;male;yes;yes;black;423
boots;online;no;female;yes;yes;black;571,5
boots;online;yes;male;yes;yes;brown;242,55
boots;online;yes;female;yes;yes;brown;130,5
boots;online;no;male;yes;yes;brown;256,5
boots;online;no;female;yes;yes;brown;517,5
boots;online;yes;male;yes;yes;gray;213,75
boots;online;yes;female;yes;yes;gray;211,5
boots;online;no;male;yes;yes;gray;443,5
boots;online;no;female;yes;yes;gray;490,5
boots;online;yes;male;yes;yes;white;238,5
boots;online;yes;female;yes;yes;white;333
boots;online;no;male;yes;yes;white;342
boots;online;no;female;yes;yes;white;544,5
boots;online;yes;female;yes;yes;red;281,25
boots;online;no;female;yes;yes;red;418,5
boots;online;yes;male;yes;yes;blue;333,9
boots;online;yes;female;yes;yes;blue;146,25
boots;online;no;male;yes;yes;blue;297
boots;online;no;female;yes;yes;blue;463,5
wedges;online;yes;female;yes;no;black;54,9
wedges;online;no;female;yes;no;black;160,2
wedges;online;yes;female;yes;no;brown;36
wedges;online;no;female;yes;no;brown;95,4
wedges;online;yes;female;yes;no;gray;44,1
wedges;online;no;female;yes;no;gray;37,8
wedges;online;yes;female;yes;no;white;39,15
wedges;online;no;female;yes;no;white;41,4
wedges;online;yes;female;yes;no;red;78,75
wedges;online;no;female;yes;no;red;65,7
wedges;online;yes;female;yes;no;blue;64,89
wedges;online;no;female;yes;no;blue;75,6
sneakers;online;yes;male;yes;no;black;73,575
sneakers;online;yes;female;yes;no;black;55,35
sneakers;online;no;male;yes;no;black;155,25
sneakers;online;no;female;yes;no;black;164,7
sneakers;online;yes;male;yes;no;brown;101,925
sneakers;online;no;male;yes;no;brown;126,9
sneakers;online;yes;male;yes;no;gray;24,3
sneakers;online;yes;female;yes;no;gray;70,875
sneakers;online;no;male;yes;no;gray;190,35
sneakers;online;no;female;yes;no;gray;91,8
sneakers;online;yes;male;yes;no;white;121,905
sneakers;online;yes;female;yes;no;white;70,2
sneakers;online;no;male;yes;no;white;193,05
sneakers;online;no;female;yes;no;white;55,35
sneakers;online;yes;male;yes;no;red;63,45
sneakers;online;yes;female;yes;no;red;43,2
sneakers;online;no;male;yes;no;red;252,45
sneakers;online;no;female;yes;no;red;168,75
sneakers;online;yes;male;yes;no;blue;95,175
sneakers;online;yes;female;yes;no;blue;45,9
sneakers;online;no;male;yes;no;blue;116,1
sneakers;online;no;female;yes;no;blue;124,2
heals;online;yes;female;yes;no;black;195,51
heals;online;no;female;yes;no;black;193,2
heals;online;yes;female;yes;no;brown;127,05
heals;online;no;female;yes;no;brown;79,8
heals;online;yes;female;yes;no;gray;93,45
heals;online;no;female;yes;no;gray;157,5
heals;online;yes;female;yes;no;white;55,65
heals;online;no;female;yes;no;white;241,5
heals;online;yes;female;yes;no;red;113,4
heals;online;no;female;yes;no;red;212,1
heals;online;yes;female;yes;no;blue;63
heals;online;no;female;yes;no;blue;281,4
sandals;online;yes;male;yes;no;black;24,975
sandals;online;yes;female;yes;no;black;28,665
sandals;online;no;male;yes;no;black;45,45
sandals;online;no;female;yes;no;black;41,4
sandals;online;yes;male;yes;no;brown;10,575
sandals;online;yes;female;yes;no;brown;28,665
sandals;online;no;male;yes;no;brown;33,75
sandals;online;no;female;yes;no;brown;31,95
sandals;online;yes;male;yes;no;gray;14,625
sandals;online;yes;female;yes;no;gray;18,9
sandals;online;no;male;yes;no;gray;18
sandals;online;no;female;yes;no;gray;58,05
sandals;online;yes;male;yes;no;white;26,1
sandals;online;yes;female;yes;no;white;22,275
sandals;online;no;male;yes;no;white;44,55
sandals;online;no;female;yes;no;white;34,2
sandals;online;yes;male;yes;no;red;29,475
sandals;online;yes;female;yes;no;red;30,24
sandals;online;no;male;yes;no;red;35,55
sandals;online;no;female;yes;no;red;63,45
sandals;online;yes;male;yes;no;blue;29,295
sandals;online;yes;female;yes;no;blue;25,83
sandals;online;no;male;yes;no;blue;40,95
sandals;online;no;female;yes;no;blue;33,75
boots;online;yes;male;yes;no;black;99
boots;online;yes;female;yes;no;black;369,6
boots;online;no;male;yes;no;black;450
boots;online;no;female;yes;no;black;327
boots;online;yes;male;yes;no;brown;130,2
boots;online;yes;female;yes;no;brown;111
boots;online;no;male;yes;no;brown;285
boots;online;no;female;yes;no;brown;372
boots;online;yes;male;yes;no;gray;90
boots;online;yes;female;yes;no;gray;45
boots;online;no;male;yes;no;gray;171
boots;online;no;female;yes;no;gray;330
boots;online;yes;male;yes;no;white;168
boots;online;yes;female;yes;no;white;239,4
boots;online;no;male;yes;no;white;288
boots;online;no;female;yes;no;white;318
boots;online;yes;female;yes;no;red;180,6
boots;online;no;female;yes;no;red;378
boots;online;yes;male;yes;no;blue;88,5
boots;online;yes;female;yes;no;blue;171
boots;online;no;male;yes;no;blue;225
boots;online;no;female;yes;no;blue;270
wedges;online;yes;female;yes;yes;black;78,975
wedges;online;no;female;yes;yes;black;176,85
wedges;online;yes;female;yes;yes;brown;44,55
wedges;online;no;female;yes;yes;brown;186,3
wedges;online;yes;female;yes;yes;gray;81
wedges;online;no;female;yes;yes;gray;132,3
wedges;online;yes;female;yes;yes;white;63,45
wedges;online;no;female;yes;yes;white;125,55
wedges;online;yes;female;yes;yes;red;85,995
wedges;online;no;female;yes;yes;red;136,35
wedges;online;yes;female;yes;yes;blue;68,85
wedges;online;no;female;yes;yes;blue;168,75
sneakers;online;yes;male;yes;yes;black;147,825
sneakers;online;yes;female;yes;yes;black;161,595
sneakers;online;no;male;yes;yes;black;190,35
sneakers;online;no;female;yes;yes;black;240,975
sneakers;online;yes;male;yes;yes;brown;148,8375
sneakers;online;no;male;yes;yes;brown;139,725
sneakers;online;yes;male;yes;yes;gray;129,6
sneakers;online;yes;female;yes;yes;gray;110,3625
sneakers;online;no;male;yes;yes;gray;210,6
sneakers;online;no;female;yes;yes;gray;232,875
sneakers;online;yes;male;yes;yes;white;109,35
sneakers;online;yes;female;yes;yes;white;72,9
sneakers;online;no;male;yes;yes;white;192,375
sneakers;online;no;female;yes;yes;white;194,4
sneakers;online;yes;male;yes;yes;red;85,05
sneakers;online;yes;female;yes;yes;red;151,875
sneakers;online;no;male;yes;yes;red;149,85
sneakers;online;no;female;yes;yes;red;172,125
sneakers;online;yes;male;yes;yes;blue;79,9875
sneakers;online;yes;female;yes;yes;blue;65,8125
sneakers;online;no;male;yes;yes;blue;190,35
sneakers;online;no;female;yes;yes;blue;186,3
heals;online;yes;female;yes;yes;black;229,95
heals;online;no;female;yes;yes;black;292,95
heals;online;yes;female;yes;yes;brown;149,94
heals;online;no;female;yes;yes;brown;466,2
heals;online;yes;female;yes;yes;gray;302,085
heals;online;no;female;yes;yes;gray;292,95
heals;online;yes;female;yes;yes;white;86,625
heals;online;no;female;yes;yes;white;274,05
heals;online;yes;female;yes;yes;red;149,625
heals;online;no;female;yes;yes;red;340,2
heals;online;yes;female;yes;yes;blue;144,9
heals;online;no;female;yes;yes;blue;355,95
sandals;online;yes;male;yes;yes;black;37,8
sandals;online;yes;female;yes;yes;black;20,925
sandals;online;no;male;yes;yes;black;48,6
sandals;online;no;female;yes;yes;black;52,65
sandals;online;yes;male;yes;yes;brown;40,1625
sandals;online;yes;female;yes;yes;brown;30,375
sandals;online;no;male;yes;yes;brown;67,5
sandals;online;no;female;yes;yes;brown;6,075
sandals;online;yes;male;yes;yes;gray;29,025
sandals;online;yes;female;yes;yes;gray;46,2375
sandals;online;no;male;yes;yes;gray;45,9
sandals;online;no;female;yes;yes;gray;86,4
sandals;online;yes;male;yes;yes;white;37,4625
sandals;online;yes;female;yes;yes;white;33,4125
sandals;online;no;male;yes;yes;white;70,875
sandals;online;no;female;yes;yes;white;35,775
sandals;online;yes;male;yes;yes;red;32,7375
sandals;online;yes;female;yes;yes;red;49,95
sandals;online;no;male;yes;yes;red;69,525
sandals;online;no;female;yes;yes;red;68,175
sandals;online;yes;male;yes;yes;blue;26,325
sandals;online;yes;female;yes;yes;blue;33,4125
sandals;online;no;male;yes;yes;blue;72,225
sandals;online;no;female;yes;yes;blue;76,275
boots;online;yes;male;yes;yes;black;200,25
boots;online;yes;female;yes;yes;black;292,95
boots;online;no;male;yes;yes;black;524,5
boots;online;no;female;yes;yes;black;144
boots;online;yes;male;yes;yes;brown;526,05
boots;online;yes;female;yes;yes;brown;247,5
boots;online;no;male;yes;yes;brown;585
boots;online;no;female;yes;yes;brown;225
boots;online;yes;male;yes;yes;gray;184,5
boots;online;yes;female;yes;yes;gray;207
boots;online;no;male;yes;yes;gray;508,5
boots;online;no;female;yes;yes;gray;225
boots;online;yes;male;yes;yes;white;256,5
boots;online;yes;female;yes;yes;white;201,6
boots;online;no;male;yes;yes;white;459
boots;online;no;female;yes;yes;white;540
boots;online;yes;female;yes;yes;red;247,5
boots;online;no;female;yes;yes;red;594
boots;online;yes;male;yes;yes;blue;409,5
boots;online;yes;female;yes;yes;blue;252
boots;online;no;male;yes;yes;blue;486
boots;online;no;female;yes;yes;blue;324
wedges;online;yes;female;yes;no;black;37,8
wedges;online;no;female;yes;no;black;115,2
wedges;online;yes;female;yes;no;brown;45
wedges;online;no;female;yes;no;brown;88,2
wedges;online;yes;female;yes;no;gray;57,15
wedges;online;no;female;yes;no;gray;106,2
wedges;online;yes;female;yes;no;white;49,95
wedges;online;no;female;yes;no;white;124,2
wedges;online;yes;female;yes;no;red;57,6
wedges;online;no;female;yes;no;red;96,3
wedges;online;yes;female;yes;no;blue;49,77
wedges;online;no;female;yes;no;blue;72
sneakers;online;yes;male;yes;no;black;128,52
sneakers;online;yes;female;yes;no;black;49,14
sneakers;online;no;male;yes;no;black;133,65
sneakers;online;no;female;yes;no;black;56,7
sneakers;online;yes;male;yes;no;brown;88,425
sneakers;online;no;male;yes;no;brown;170,1
sneakers;online;yes;male;yes;no;gray;94,5
sneakers;online;yes;female;yes;no;gray;66,15
sneakers;online;no;male;yes;no;gray;33,75
sneakers;online;no;female;yes;no;gray;157,95
sneakers;online;yes;male;yes;no;white;22,95
sneakers;online;yes;female;yes;no;white;28,35
sneakers;online;no;male;yes;no;white;137,7
sneakers;online;no;female;yes;no;white;97,2
sneakers;online;yes;male;yes;no;red;75,6
sneakers;online;yes;female;yes;no;red;81
sneakers;online;no;male;yes;no;red;170,1
sneakers;online;no;female;yes;no;red;106,65
sneakers;online;yes;male;yes;no;blue;76,275
sneakers;online;yes;female;yes;no;blue;69,525
sneakers;online;no;male;yes;no;blue;168,75
sneakers;online;no;female;yes;no;blue;156,6
heals;online;yes;female;yes;no;black;133,35
heals;online;no;female;yes;no;black;201,6
heals;online;yes;female;yes;no;brown;100,8
heals;online;no;female;yes;no;brown;273
heals;online;yes;female;yes;no;gray;37,8
heals;online;no;female;yes;no;gray;178,5
heals;online;yes;female;yes;no;white;65,1
heals;online;no;female;yes;no;white;186,9
heals;online;yes;female;yes;no;red;124,95
heals;online;no;female;yes;no;red;262,5
heals;online;yes;female;yes;no;blue;73,5
heals;online;no;female;yes;no;blue;180,6
sandals;online;yes;male;yes;no;black;32,76
sandals;online;yes;female;yes;no;black;20,475
sandals;online;no;male;yes;no;black;49,05
sandals;online;no;female;yes;no;black;50,4
sandals;online;yes;male;yes;no;brown;22,68
sandals;online;yes;female;yes;no;brown;21,375
sandals;online;no;male;yes;no;brown;16,2
sandals;online;no;female;yes;no;brown;60,3
sandals;online;yes;male;yes;no;gray;25,515
sandals;online;yes;female;yes;no;gray;14,4
sandals;online;no;male;yes;no;gray;41,4
sandals;online;no;female;yes;no;gray;25,65
sandals;online;yes;male;yes;no;white;22,275
sandals;online;yes;female;yes;no;white;18,675
sandals;online;no;male;yes;no;white;74,25
sandals;online;no;female;yes;no;white;60,3
sandals;online;yes;male;yes;no;red;5,625
sandals;online;yes;female;yes;no;red;25,425
sandals;online;no;male;yes;no;red;26,1
sandals;online;no;female;yes;no;red;41,4
sandals;online;yes;male;yes;no;blue;23,625
sandals;online;yes;female;yes;no;blue;38,43
sandals;online;no;male;yes;no;blue;41,4
sandals;online;no;female;yes;no;blue;66,15
boots;online;yes;male;yes;no;black;180,6
boots;online;yes;female;yes;no;black;231
boots;online;no;male;yes;no;black;360
boots;online;no;female;yes;no;black;309
boots;online;yes;male;yes;no;brown;189
boots;online;yes;female;yes;no;brown;231
boots;online;no;male;yes;no;brown;228
boots;online;no;female;yes;no;brown;138
boots;online;yes;male;yes;no;gray;234
boots;online;yes;female;yes;no;gray;172,2
boots;online;no;male;yes;no;gray;309
boots;online;no;female;yes;no;gray;351
boots;online;yes;male;yes;no;white;154,5
boots;online;yes;female;yes;no;white;153,3
boots;online;no;male;yes;no;white;258
boots;online;no;female;yes;no;white;288
boots;online;yes;female;yes;no;red;216
boots;online;no;female;yes;no;red;222
boots;online;yes;male;yes;no;blue;186
boots;online;yes;female;yes;no;blue;228,9
boots;online;no;male;yes;no;blue;279
boots;online;no;female;yes;no;blue;204
wedges;online;yes;female;yes;yes;black;85,995
wedges;online;no;female;yes;yes;black;130,95
wedges;online;yes;female;yes;yes;brown;37,8
wedges;online;no;female;yes;yes;brown;143,1
wedges;online;yes;female;yes;yes;gray;50,625
wedges;online;no;female;yes;yes;gray;130,95
wedges;online;yes;female;yes;yes;white;103,95
wedges;online;no;female;yes;yes;white;98,55
wedges;online;yes;female;yes;yes;red;61,425
wedges;online;no;female;yes;yes;red;149,85
wedges;online;yes;female;yes;yes;blue;30,375
wedges;online;no;female;yes;yes;blue;176,85
sneakers;online;yes;male;yes;yes;black;175,1625
sneakers;online;yes;female;yes;yes;black;130,6125
sneakers;online;no;male;yes;yes;black;184,275
sneakers;online;no;female;yes;yes;black;228,825
sneakers;online;yes;male;yes;yes;brown;97,8075
sneakers;online;no;male;yes;yes;brown;315,9
sneakers;online;yes;male;yes;yes;gray;129,6
sneakers;online;yes;female;yes;yes;gray;125,55
sneakers;online;no;male;yes;yes;gray;149,85
sneakers;online;no;female;yes;yes;gray;222,75
sneakers;online;yes;male;yes;yes;white;84,0375
sneakers;online;yes;female;yes;yes;white;92,1375
sneakers;online;no;male;yes;yes;white;168,075
sneakers;online;no;female;yes;yes;white;139,725
sneakers;online;yes;male;yes;yes;red;103,4775
sneakers;online;yes;female;yes;yes;red;133,245
sneakers;online;no;male;yes;yes;red;99,225
sneakers;online;no;female;yes;yes;red;238,95
sneakers;online;yes;male;yes;yes;blue;97,2
sneakers;online;yes;female;yes;yes;blue;122,5125
sneakers;online;no;male;yes;yes;blue;218,7
sneakers;online;no;female;yes;yes;blue;232,875
heals;online;yes;female;yes;yes;black;88,2
heals;online;no;female;yes;yes;black;217,35
heals;online;yes;female;yes;yes;brown;137,025
heals;online;no;female;yes;yes;brown;324,45
heals;online;yes;female;yes;yes;gray;211,05
heals;online;no;female;yes;yes;gray;286,65
heals;online;yes;female;yes;yes;white;217,35
heals;online;no;female;yes;yes;white;359,1
heals;online;yes;female;yes;yes;red;297,675
heals;online;no;female;yes;yes;red;327,6
heals;online;yes;female;yes;yes;blue;126
heals;online;no;female;yes;yes;blue;176,4
sandals;online;yes;male;yes;yes;black;35,4375
sandals;online;yes;female;yes;yes;black;42,1875
sandals;online;no;male;yes;yes;black;61,425
sandals;online;no;female;yes;yes;black;56,7
sandals;online;yes;male;yes;yes;brown;30,7125
sandals;online;yes;female;yes;yes;brown;31,6575
sandals;online;no;male;yes;yes;brown;57,375
sandals;online;no;female;yes;yes;brown;64,125
sandals;online;yes;male;yes;yes;gray;34,0875
sandals;online;yes;female;yes;yes;gray;33,075
sandals;online;no;male;yes;yes;gray;79,65
sandals;online;no;female;yes;yes;gray;69,525
sandals;online;yes;male;yes;yes;white;72,765
sandals;online;yes;female;yes;yes;white;51,5025
sandals;online;no;male;yes;yes;white;103,95
sandals;online;no;female;yes;yes;white;52,65
sandals;online;yes;male;yes;yes;red;39,15
sandals;online;yes;female;yes;yes;red;31,05
sandals;online;no;male;yes;yes;red;79,65
sandals;online;no;female;yes;yes;red;79,65
sandals;online;yes;male;yes;yes;blue;11,475
sandals;online;yes;female;yes;yes;blue;20,25
sandals;online;no;male;yes;yes;blue;38,475
sandals;online;no;female;yes;yes;blue;75,6
boots;online;yes;male;yes;yes;black;453,6
boots;online;yes;female;yes;yes;black;202,5
boots;online;no;male;yes;yes;black;558
boots;online;no;female;yes;yes;black;522
boots;online;yes;male;yes;yes;brown;153
boots;online;yes;female;yes;yes;brown;252
boots;online;no;male;yes;yes;brown;346,5
boots;online;no;female;yes;yes;brown;452,5
boots;online;yes;male;yes;yes;gray;222,75
boots;online;yes;female;yes;yes;gray;335,25
boots;online;no;male;yes;yes;gray;391,5
boots;online;no;female;yes;yes;gray;531
boots;online;yes;male;yes;yes;white;308,7
boots;online;yes;female;yes;yes;white;122,85
boots;online;no;male;yes;yes;white;319,5
boots;online;no;female;yes;yes;white;531
boots;online;yes;female;yes;yes;red;308,7
boots;online;no;female;yes;yes;red;297
boots;online;yes;male;yes;yes;blue;182,25
boots;online;yes;female;yes;yes;blue;240,75
boots;online;no;male;yes;yes;blue;315
boots;online;no;female;yes;yes;blue;580,5
wedges;online;yes;female;yes;no;black;51,03
wedges;online;no;female;yes;no;black;138,6
wedges;online;yes;female;yes;no;brown;30,6
wedges;online;no;female;yes;no;brown;95,4
wedges;online;yes;female;yes;no;gray;34,02
wedges;online;no;female;yes;no;gray;70,2
wedges;online;yes;female;yes;no;white;36,9
wedges;online;no;female;yes;no;white;100,8
wedges;online;yes;female;yes;no;red;57,6
wedges;online;no;female;yes;no;red;98,1
wedges;online;yes;female;yes;no;blue;40,05
wedges;online;no;female;yes;no;blue;111,6
sneakers;online;yes;male;yes;no;black;117,18
sneakers;online;yes;female;yes;no;black;70,2
sneakers;online;no;male;yes;no;black;157,95
sneakers;online;no;female;yes;no;black;151,2
sneakers;online;yes;male;yes;no;brown;47,25
sneakers;online;no;male;yes;no;brown;166,05
sneakers;online;yes;male;yes;no;gray;75,6
sneakers;online;yes;female;yes;no;gray;55,35
sneakers;online;no;male;yes;no;gray;141,75
sneakers;online;no;female;yes;no;gray;122,85
sneakers;online;yes;male;yes;no;white;64,8
sneakers;online;yes;female;yes;no;white;79,65
sneakers;online;no;male;yes;no;white;176,85
sneakers;online;no;female;yes;no;white;126,9
sneakers;online;yes;male;yes;no;red;74,25
sneakers;online;yes;female;yes;no;red;62,775
sneakers;online;no;male;yes;no;red;144,45
sneakers;online;no;female;yes;no;red;152,55
sneakers;online;yes;male;yes;no;blue;54,675
sneakers;online;yes;female;yes;no;blue;72,9
sneakers;online;no;male;yes;no;blue;159,3
sneakers;online;no;female;yes;no;blue;139,05
heals;online;yes;female;yes;no;black;223,44
heals;online;no;female;yes;no;black;172,2
heals;online;yes;female;yes;no;brown;81,9
heals;online;no;female;yes;no;brown;100,8
heals;online;yes;female;yes;no;gray;186,69
heals;online;no;female;yes;no;gray;264,6
heals;online;yes;female;yes;no;white;102,9
heals;online;no;female;yes;no;white;266,7
heals;online;yes;female;yes;no;red;111,3
heals;online;no;female;yes;no;red;228,9
heals;online;yes;female;yes;no;blue;108,15
heals;online;no;female;yes;no;blue;237,3
sandals;online;yes;male;yes;no;black;23,175
sandals;online;yes;female;yes;no;black;41,4
sandals;online;no;male;yes;no;black;29,25
sandals;online;no;female;yes;no;black;19,8
sandals;online;yes;male;yes;no;brown;14,85
sandals;online;yes;female;yes;no;brown;15,075
sandals;online;no;male;yes;no;brown;39,15
sandals;online;no;female;yes;no;brown;42,75
sandals;online;yes;male;yes;no;gray;29,295
sandals;online;yes;female;yes;no;gray;36,54
sandals;online;no;male;yes;no;gray;50,4
sandals;online;no;female;yes;no;gray;55,35
sandals;online;yes;male;yes;no;white;48,195
sandals;online;yes;female;yes;no;white;30,825
sandals;online;no;male;yes;no;white;27,9
sandals;online;no;female;yes;no;white;13,5
sandals;online;yes;male;yes;no;red;28,575
sandals;online;yes;female;yes;no;red;10,125
sandals;online;no;male;yes;no;red;45,9
sandals;online;no;female;yes;no;red;45,45
sandals;online;yes;male;yes;no;blue;37,575
sandals;online;yes;female;yes;no;blue;22,05
sandals;online;no;male;yes;no;blue;38,25
sandals;online;no;female;yes;no;blue;48,15
boots;online;yes;male;yes;no;black;224,7
boots;online;yes;female;yes;no;black;214,2
boots;online;no;male;yes;no;black;246
boots;online;no;female;yes;no;black;189
boots;online;yes;male;yes;no;brown;228,9
boots;online;yes;female;yes;no;brown;90
boots;online;no;male;yes;no;brown;207
boots;online;no;female;yes;no;brown;420
boots;online;yes;male;yes;no;gray;130,5
boots;online;yes;female;yes;no;gray;201,6
boots;online;no;male;yes;no;gray;381
boots;online;no;female;yes;no;gray;273
boots;online;yes;male;yes;no;white;196,5
boots;online;yes;female;yes;no;white;135
boots;online;no;male;yes;no;white;390
boots;online;no;female;yes;no;white;357
boots;online;yes;female;yes;no;red;141
boots;online;no;female;yes;no;red;222
boots;online;yes;male;yes;no;blue;103,5
boots;online;yes;female;yes;no;blue;138
boots;online;no;male;yes;no;blue;261
boots;online;no;female;yes;no;blue;264
wedges;online;yes;female;yes;yes;black;87,75
wedges;online;no;female;yes;yes;black;122,85
wedges;online;yes;female;yes;yes;brown;126,63
wedges;online;no;female;yes;yes;brown;113,4
wedges;online;yes;female;yes;yes;gray;87,075
wedges;online;no;female;yes;yes;gray;113,4
wedges;online;yes;female;yes;yes;white;99,225
wedges;online;no;female;yes;yes;white;174,15
wedges;online;yes;female;yes;yes;red;83,16
wedges;online;no;female;yes;yes;red;117,45
wedges;online;yes;female;yes;yes;blue;108
wedges;online;no;female;yes;yes;blue;174,15
sneakers;online;yes;male;yes;yes;black;88,0875
sneakers;online;yes;female;yes;yes;black;120,4875
sneakers;online;no;male;yes;yes;black;180,225
sneakers;online;no;female;yes;yes;black;245,025
sneakers;online;yes;male;yes;yes;brown;143,775
sneakers;online;no;male;yes;yes;brown;105,3
sneakers;online;yes;male;yes;yes;gray;132,6375
sneakers;online;yes;female;yes;yes;gray;145,8
sneakers;online;no;male;yes;yes;gray;204,525
sneakers;online;no;female;yes;yes;gray;307,8
sneakers;online;yes;male;yes;yes;white;106,3125
sneakers;online;yes;female;yes;yes;white;89,3025
sneakers;online;no;male;yes;yes;white;68,85
sneakers;online;no;female;yes;yes;white;182,25
sneakers;online;yes;male;yes;yes;red;122,5125
sneakers;online;yes;female;yes;yes;red;111,375
sneakers;online;no;male;yes;yes;red;226,8
sneakers;online;no;female;yes;yes;red;168,075
sneakers;online;yes;male;yes;yes;blue;147,42
sneakers;online;yes;female;yes;yes;blue;72,2925
sneakers;online;no;male;yes;yes;blue;155,925
sneakers;online;no;female;yes;yes;blue;151,875
heals;online;yes;female;yes;yes;black;255,78
heals;online;no;female;yes;yes;black;315
heals;online;yes;female;yes;yes;brown;102,375
heals;online;no;female;yes;yes;brown;315
heals;online;yes;female;yes;yes;gray;174,195
heals;online;no;female;yes;yes;gray;252
heals;online;yes;female;yes;yes;white;198,45
heals;online;no;female;yes;yes;white;324,45
heals;online;yes;female;yes;yes;red;176,4
heals;online;no;female;yes;yes;red;400,05
heals;online;yes;female;yes;yes;blue;165,375
heals;online;no;female;yes;yes;blue;368,55
sandals;online;yes;male;yes;yes;black;40,5
sandals;online;yes;female;yes;yes;black;63,7875
sandals;online;no;male;yes;yes;black;76,95
sandals;online;no;female;yes;yes;black;95,85
sandals;online;yes;male;yes;yes;brown;34,0875
sandals;online;yes;female;yes;yes;brown;33,4125
sandals;online;no;male;yes;yes;brown;101,925
sandals;online;no;female;yes;yes;brown;57,375
sandals;online;yes;male;yes;yes;gray;33,75
sandals;online;yes;female;yes;yes;gray;43,2
sandals;online;no;male;yes;yes;gray;70,2
sandals;online;no;female;yes;yes;gray;95,85
sandals;online;yes;male;yes;yes;white;44,2125
sandals;online;yes;female;yes;yes;white;36,7875
sandals;online;no;male;yes;yes;white;51,975
sandals;online;no;female;yes;yes;white;78,975
sandals;online;yes;male;yes;yes;red;27,8775
sandals;online;yes;female;yes;yes;red;36,1125
sandals;online;no;male;yes;yes;red;83,7
sandals;online;no;female;yes;yes;red;71,55
sandals;online;yes;male;yes;yes;blue;59,535
sandals;online;yes;female;yes;yes;blue;54,3375
sandals;online;no;male;yes;yes;blue;86,4
sandals;online;no;female;yes;yes;blue;72,9
boots;online;yes;male;yes;yes;black;374,85
boots;online;yes;female;yes;yes;black;254,25
boots;online;no;male;yes;yes;black;274,5
boots;online;no;female;yes;yes;black;396
